filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
FAR09416_pass_b2a717df_980.fast5	9b222012-62df-4435-a18f-165de5277ef4	b2a717df255266c1428d6ef9ef7f36db102942b3	394	119	1	142855.049500	1.481500	1185	TRUE	142855.060750	1176	1.470250	617	14.599316	3.152250	91.702614	10.056606	91.702614	10.056606
FAR09416_pass_b2a717df_839.fast5	edb532bd-a2c7-481f-96fa-e8b50b331ee9	b2a717df255266c1428d6ef9ef7f36db102942b3	400	502	3	115109.713000	41.680500	33344	TRUE	115109.729250	33331	41.664250	15755	16.274075	3.097687	74.657516	9.715705	74.657516	9.715705
FAR09416_pass_b2a717df_1097.fast5	523d272f-07e8-4d21-93a3-15dcb3d85c2d	b2a717df255266c1428d6ef9ef7f36db102942b3	402	265	1	172108.413250	19.205500	15364	TRUE	172108.433250	15348	19.185500	7605	14.279252	3.091088	72.271202	8.863450	72.271202	8.863450
FAR09416_pass_b2a717df_589.fast5	c263ba1a-6234-4d98-8a97-26a73a72ab39	b2a717df255266c1428d6ef9ef7f36db102942b3	409	439	1	75740.427500	44.198250	35358	TRUE	75740.455000	35336	44.170750	7770	16.612564	2.565442	77.043831	9.886155	77.043831	9.886155
FAR09416_pass_b2a717df_498.fast5	07fd3597-b218-4fce-a392-d8ce0a6a5c4d	b2a717df255266c1428d6ef9ef7f36db102942b3	419	276	4	63069.697250	2.549250	2039	TRUE	63069.724750	2017	2.521750	1043	13.731950	3.157763	73.634811	9.033900	73.634811	9.033900
FAR09416_pass_b2a717df_498.fast5	53939144-6cac-40ca-a878-8c98d2b10b6c	b2a717df255266c1428d6ef9ef7f36db102942b3	419	276	4	63072.249000	2.330000	1864	TRUE	63072.259000	1856	2.320000	1034	16.626600	3.228292	72.953011	9.033900	72.953011	9.033900
FAR09416_pass_b2a717df_771.fast5	1daf15b1-8007-4251-a9b0-37439ada6e49	b2a717df255266c1428d6ef9ef7f36db102942b3	424	205	4	103569.141500	8.664000	6931	TRUE	103569.174000	6905	8.631500	3492	14.948047	3.166396	80.282402	9.545254	80.282402	9.545254
FAR09416_pass_b2a717df_132.fast5	77988a5c-b9e7-425c-ae45-db4e95940e8f	b2a717df255266c1428d6ef9ef7f36db102942b3	426	202	3	15226.587500	43.664750	34931	TRUE	15226.652500	34879	43.599750	17289	15.639975	3.162658	74.487068	9.545254	74.487068	9.545254
FAR09416_pass_b2a717df_650.fast5	8df0edf8-4be5-4156-8068-97dad32ba3ed	b2a717df255266c1428d6ef9ef7f36db102942b3	427	81	3	84502.422250	13.624500	10899	TRUE	84502.447250	10879	13.599500	5466	14.332163	3.134571	79.941498	9.033900	79.941498	9.033900
FAR09416_pass_b2a717df_1155.fast5	6ea35da9-7a80-46a3-913e-ec326c20f273	b2a717df255266c1428d6ef9ef7f36db102942b3	432	248	4	199694.964250	51.096000	40876	TRUE	199695.031750	40822	51.028500	19797	9.592633	2.953787	56.248814	6.988489	56.248814	6.988489
FAR09416_pass_b2a717df_481.fast5	608437ee-d335-44e3-90ee-43374bbf080b	b2a717df255266c1428d6ef9ef7f36db102942b3	433	501	4	60671.071750	11.147750	8918	TRUE	60671.071750	8918	11.147750	4564	12.289889	3.118891	68.180382	8.181646	68.180382	8.181646
FAR09416_pass_b2a717df_523.fast5	3bb89540-c5f5-4844-9d38-0de1de68d873	b2a717df255266c1428d6ef9ef7f36db102942b3	445	88	2	66349.684500	0.770250	616	TRUE	66349.727000	582	0.727750	272	11.808587	2.961074	74.998421	7.329391	74.998421	7.329391
FAR09416_pass_b2a717df_770.fast5	9ad470d2-7869-4cb8-94b4-23e44ead1f21	b2a717df255266c1428d6ef9ef7f36db102942b3	452	370	4	103419.268500	16.653000	13322	TRUE	103419.268500	13322	16.653000	5938	16.111502	3.057662	79.600594	10.227057	79.600594	10.227057
FAR09416_pass_b2a717df_702.fast5	5859f359-dfdf-4369-9a21-3dfc0e393c83	b2a717df255266c1428d6ef9ef7f36db102942b3	462	19	2	92408.946250	48.231250	38585	TRUE	92408.980000	38558	48.197500	18639	14.290176	3.120090	77.384735	9.545254	77.384735	9.545254
FAR09416_pass_b2a717df_250.fast5	906d8f2a-8f88-4631-a15b-8ab0de2cd447	b2a717df255266c1428d6ef9ef7f36db102942b3	467	351	3	30166.558750	0.937250	749	TRUE	30166.568750	741	0.927250	393	13.810478	3.117284	63.578205	8.181646	63.578205	8.181646
FAR09416_pass_b2a717df_1061.fast5	2b27e87e-2ae5-4a56-bc0a-71958fbcd009	b2a717df255266c1428d6ef9ef7f36db102942b3	470	314	4	161979.832750	3.897750	3118	TRUE	161979.881500	3079	3.849000	1585	12.535952	3.108961	101.759224	10.908861	101.759224	10.908861
FAR09416_pass_b2a717df_543.fast5	846bd309-df7f-47dc-9f86-914c0fd9beaa	b2a717df255266c1428d6ef9ef7f36db102942b3	472	22	3	69319.345000	3.032500	2426	TRUE	69319.363750	2411	3.013750	1160	14.539565	3.103197	73.123459	9.545254	73.123459	9.545254
FAR09416_pass_b2a717df_316.fast5	d5b7e2e8-f916-49a8-a499-c094f903656c	b2a717df255266c1428d6ef9ef7f36db102942b3	477	282	3	38615.078750	3.427250	2741	TRUE	38615.120000	2708	3.386000	1857	10.475979	3.357863	72.953011	8.522548	72.953011	8.522548
FAR09416_pass_b2a717df_1011.fast5	c43680f0-c85e-460f-aacb-ab18ae1ec5e7	b2a717df255266c1428d6ef9ef7f36db102942b3	479	333	3	149815.853500	1.173000	938	TRUE	149815.867250	927	1.159250	441	12.587219	3.007303	91.020813	10.567959	91.020813	10.567959
FAR09416_pass_b2a717df_723.fast5	ab8bff5d-acac-40a7-a7c1-a10f5e8d054e	b2a717df255266c1428d6ef9ef7f36db102942b3	489	302	3	95683.285000	40.211500	32169	TRUE	95683.325000	32137	40.171500	14509	10.601392	2.975689	62.896404	8.352097	62.896404	8.352097
FAR09416_pass_b2a717df_233.fast5	08f40b43-585e-4bfd-82ac-db7327041df5	b2a717df255266c1428d6ef9ef7f36db102942b3	491	434	4	27822.071250	1.269000	1015	TRUE	27822.071250	1015	1.269000	443	12.667166	2.891859	68.350830	10.227057	68.350830	10.227057
FAR09416_pass_b2a717df_573.fast5	4ca9f68e-eedf-4f5f-b566-9b76dec144d4	b2a717df255266c1428d6ef9ef7f36db102942b3	504	101	2	73563.932250	3.467000	2773	TRUE	73563.946000	2762	3.453250	1290	16.759239	3.099730	73.293907	9.204351	73.293907	9.204351
FAR09416_pass_b2a717df_573.fast5	e9164714-c86d-49fa-a9c4-82c9c1de843c	b2a717df255266c1428d6ef9ef7f36db102942b3	504	101	2	73567.414250	3.241250	2593	TRUE	73567.443000	2570	3.212500	1282	14.429872	3.130181	72.612106	9.715705	72.612106	9.715705
FAR09416_pass_b2a717df_658.fast5	521d356c-3a0c-47fd-a6ec-a3cda8a97102	b2a717df255266c1428d6ef9ef7f36db102942b3	510	368	3	85747.974500	18.623750	14899	TRUE	85748.039500	14847	18.558750	6861	16.510763	3.091563	68.691734	9.033900	68.691734	9.033900
FAR09416_pass_b2a717df_1188.fast5	0b2c4298-f016-48e5-983d-ad6e64bef62b	b2a717df255266c1428d6ef9ef7f36db102942b3	511	284	4	259130.003250	4.495750	3596	TRUE	259130.039500	3567	4.459500	1696	16.590240	3.102647	80.282402	9.204351	80.282402	9.204351
FAR09416_pass_b2a717df_694.fast5	ac7a50d3-e142-4c43-a98c-138c1108ac92	b2a717df255266c1428d6ef9ef7f36db102942b3	516	63	3	91181.052500	14.561500	11649	TRUE	91181.061250	11642	14.552750	5944	10.175740	3.020756	53.351151	7.158940	53.351151	7.158940
